Tempo;Spostamento;Forza
(s);(mm);(N)
"0,0000";"0,0001";"0,0012"
"0,0100";"0,0110";"0,0056"
"0,0200";"0,0612";"0,0703"
"0,0300";"0,1538";"0,1977"
"0,0400";"0,2753";"0,3610"
"0,0500";"0,4124";"0,5450"
"0,0600";"0,5539";"0,7407"
"0,0700";"0,6931";"0,9467"
"0,0800";"0,8292";"1,1687"
"0,0900";"0,9616";"1,4066"
"0,1000";"1,0888";"1,6474"
"0,1100";"1,2122";"1,8777"
"0,1200";"1,3338";"2,0929"
"0,1300";"1,4537";"2,2922"
"0,1400";"1,5711";"2,4809"
"0,1500";"1,6870";"2,6613"
"0,1600";"1,8028";"2,8340"
"0,1700";"1,9180";"2,9962"
"0,1800";"2,0317";"3,1474"
"0,1900";"2,1448";"3,2918"
"0,2000";"2,2584";"3,4321"
"0,2100";"2,3719";"3,5713"
"0,2200";"2,4840";"3,7047"
"0,2300";"2,5962";"3,8338"
"0,2400";"2,7090";"3,9614"
"0,2500";"2,8219";"4,0870"
"0,2600";"2,9340";"4,2094"
"0,2700";"3,0457";"4,3312"
"0,2800";"3,1580";"4,4550"
"0,2900";"3,2707";"4,5820"
"0,3000";"3,3832";"4,7038"
"0,3100";"3,4948";"4,8226"
"0,3200";"3,6066";"4,9420"
"0,3300";"3,7190";"5,0657"
"0,3400";"3,8315";"5,1904"
"0,3500";"3,9434";"5,3077"
"0,3600";"4,0550";"5,4186"
"0,3700";"4,1675";"5,5302"
"0,3800";"4,2801";"5,6468"
"0,3900";"4,3918";"5,7636"
"0,4000";"4,5030";"5,8785"
"0,4100";"4,6149";"5,9929"
"0,4200";"4,7269";"6,1060"
"0,4300";"4,8386";"6,2226"
"0,4400";"4,9501";"6,3409"
"0,4500";"5,0621";"6,4630"
"0,4600";"5,1747";"6,5828"
"0,4700";"5,2870";"6,6963"
"0,4800";"5,3984";"6,8087"
"0,4900";"5,5101";"6,9278"
"0,5000";"5,6224";"7,0513"
"0,5100";"5,7348";"7,1723"
"0,5200";"5,8463";"7,2891"
"0,5300";"5,9580";"7,4053"
"0,5400";"6,0705";"7,5235"
"0,5500";"6,1829";"7,6451"
"0,5600";"6,2948";"7,7676"
"0,5700";"6,4063";"7,8929"
"0,5800";"6,5183";"8,0201"
"0,5900";"6,6307";"8,1465"
"0,6000";"6,7424";"8,2713"
"0,6100";"6,8537";"8,3980"
"0,6200";"6,9657";"8,5283"
"0,6240";"7,0107";"8,5808"
"0,6260";"7,0333";"8,6065"
"0,6280";"7,0556";"8,6323"
"0,6380";"7,1355";"8,7395"
"0,6480";"7,1302";"8,7061"
"0,6580";"7,0537";"8,5838"
"0,6680";"6,9251";"8,4182"
"0,6780";"6,7679";"8,2342"
"0,6880";"6,5997";"8,0341"
"0,6980";"6,4340";"7,8083"
"0,7080";"6,2754";"7,5450"
"0,7180";"6,1241";"7,2462"
"0,7280";"5,9815";"6,9415"
"0,7380";"5,8454";"6,6511"
"0,7480";"5,7138";"6,3797"
"0,7580";"5,5865";"6,1284"
"0,7680";"5,4633";"5,8910"
"0,7780";"5,3421";"5,6675"
"0,7880";"5,2224";"5,4604"
"0,7980";"5,1048";"5,2687"
"0,8080";"4,9890";"5,0863"
"0,8180";"4,8737";"4,9121"
"0,8280";"4,7585";"4,7467"
"0,8380";"4,6443";"4,5864"
"0,8480";"4,5310";"4,4306"
"0,8580";"4,4178";"4,2773"
"0,8680";"4,3045";"4,1310"
"0,8780";"4,1916";"3,9899"
"0,8880";"4,0794";"3,8482"
"0,8980";"3,9673";"3,7030"
"0,9080";"3,8545";"3,5568"
"0,9180";"3,7418";"3,4162"
"0,9280";"3,6297";"3,2831"
"0,9380";"3,5179";"3,1500"
"0,9480";"3,4054";"3,0143"
"0,9580";"3,2928";"2,8758"
"0,9680";"3,1811";"2,7397"
"0,9780";"3,0697";"2,6116"
