Tempo,Spostamento,Forza,Voltaggio,R_sensore
20.036,-0.0185,-0.8091,0.300580036472662,19188.3278450634
20.046,-0.0143,-0.7956,0.30050301819883,19183.096788605
20.056,-0.0054,-0.7878,0.300423527835821,19177.6980084425
20.066,0.009,-0.78,0.30031026020888,19170.0054792698
20.076,0.0274,-0.7698,0.300214819434486,19163.5239420685
20.086,0.0483,-0.7574,0.300061078297458,19153.0836865915
20.096,0.0698,-0.7425,0.299896404250731,19141.9017565031
20.106,0.0907,-0.727,0.299711828249831,19129.3693470436
20.116,0.111,-0.7094,0.299525915327758,19116.7471577695
20.126,0.1305,-0.6872,0.299330043562589,19103.4499126662
20.136,0.1491,-0.6643,0.299085583371334,19086.8556751451
20.146,0.167,-0.642,0.298807639904748,19067.9906511224
20.156,0.1842,-0.6192,0.298537770469887,19049.6757750019
20.166,0.2007,-0.5958,0.298248823486462,19030.0685184889
20.176,0.2166,-0.5732,0.297945128955599,19009.4631258155
20.186,0.2321,-0.5523,0.29757057340696,18984.0535441626
20.196,0.2473,-0.5322,0.297243162956949,18961.8455678338
20.206,0.2623,-0.5124,0.296839673664966,18934.4814806439
20.216,0.2772,-0.4908,0.296464189509863,18909.0208805471
20.226,0.292,-0.4702,0.296061244074477,18881.7027242243
20.236,0.3065,-0.4481,0.29560631881047,18850.8661589558
20.246,0.3209,-0.4247,0.295148687880072,18819.8522099787
20.256,0.335,-0.4032,0.294711250908647,18790.2124581978
20.266,0.3492,-0.3816,0.294243182934073,18758.5033208879
20.276,0.3633,-0.3577,0.293784673862597,18727.4478643789
20.286,0.3775,-0.3311,0.293276155630016,18693.0122943683
20.296,0.3916,-0.3047,0.292750991471162,18657.4573136501
20.306,0.4058,-0.2814,0.292248016750919,18623.4120525539
20.316,0.4199,-0.258,0.291657819311108,18583.4721512382
20.326,0.434,-0.2321,0.291134269596865,18548.0508214835
20.336,0.448,-0.2044,0.29053654940786,18507.6210351306
20.346,0.462,-0.1796,0.289956986188029,18468.4291844731
20.356,0.4759,-0.1551,0.28933331621353,18426.2654716824
20.366,0.4898,-0.13,0.288757793880597,18387.3667228697
20.376,0.5037,-0.1039,0.288100628686342,18342.9614673214
20.386,0.5179,-0.0775,0.287476328267832,18300.7883859922
20.396,0.5318,-0.053,0.286757619327608,18252.2516030694
20.406,0.5458,-0.0283,0.28610869358359,18208.4402239492
20.416,0.5597,-0.0031,0.285374591267156,18158.892798051
20.426,0.5737,0.0207,0.284700662854946,18113.4203259717
20.436,0.5878,0.0459,0.283942723709968,18062.2948625427
20.446,0.6018,0.072,0.283250888315833,18015.6426561362
20.456,0.6159,0.0987,0.282451398933099,17961.7481123069
20.466,0.6299,0.1235,0.281752215606015,17914.6302916478
20.476,0.644,0.1451,0.28095210319658,17860.7280116964
20.486,0.658,0.1669,0.280204131150904,17810.3548715062
20.496,0.6721,0.1912,0.279402203064201,17756.3657242033
20.506,0.686,0.2162,0.278653893751219,17706.0029585047
20.516,0.7,0.2424,0.2778635510114,17652.8285880587
20.526,0.7139,0.2669,0.277066217711318,17599.2019251044
20.536,0.7279,0.2889,0.276246811632041,17544.1095639133
20.546,0.7419,0.3124,0.275450812262057,17490.6092401552
