Tempo,Spostamento,Forza,Voltaggio,R_sensore
2.026,-0.1305,-0.3541,0.181705733834586,11313.4892015963
2.036,-0.1242,-0.2233,0.181420367293233,11295.0525541895
2.046,-0.0549,-0.0671,0.179730827067669,11185.9413210943
2.056,0.0596,0.0312,0.177639015789474,11050.9571787203
2.066,0.1993,0.0421,0.174301993233083,10835.8620652597
2.076,0.3485,-0.0126,0.170587009022556,10596.7542644161
2.086,0.4958,-0.0688,0.165899453007519,10295.5731719771
2.096,0.6369,-0.0698,0.16048064962406,9948.13563117133
2.106,0.772,0.011,0.155032147368421,9599.57746371098
2.116,0.8999,0.1752,0.149450156766917,9243.29168426622
2.126,1.0212,0.4023,0.143006123308271,8833.00207528842
2.136,1.1381,0.6674,0.137449332706767,8480.07612329593
2.146,1.2519,0.9529,0.13166039887218,8113.26302144243
2.156,1.3624,1.2413,0.12735559887218,7841.05641955133
2.166,1.4699,1.516,0.123030851879699,7568.07239146376
2.176,1.5759,1.769,0.120016514661654,7378.08939449718
2.186,1.6813,2.0005,0.117208707518797,7201.33426750893
2.196,1.7857,2.2148,0.114460627067669,7028.53574582713
2.206,1.8887,2.4169,0.111973930827068,6872.34044433077
2.216,1.9907,2.6086,0.1097995,6735.88945892913
2.226,2.0927,2.795,0.107774567293233,6608.9289287066
2.236,2.1947,2.9792,0.105634306766917,6474.85170016821
2.246,2.2959,3.1598,0.103839402255639,6362.49976993059
2.256,2.3965,3.3357,0.102046131954887,6250.33236556081
2.266,2.4969,3.5062,0.100604360902256,6160.21046143454
2.276,2.5973,3.6752,0.099302804887218,6078.89863015293
2.286,2.6977,3.8412,0.0978708808270676,5989.49222558911
2.296,2.7982,4.0074,0.097060702255639,5938.92946830645
2.306,2.8983,4.1721,0.0958973593984962,5866.35515769308
2.316,2.9986,4.3348,0.0951051939849624,5816.95618843843
2.326,3.0988,4.4951,0.0941450781954887,5757.105317794
2.336,3.1992,4.655,0.0933929503759398,5710.23618345974
2.346,3.2994,4.8163,0.0928909240601504,5678.96021604283
2.356,3.3994,4.979,0.0920649312030075,5627.51523272947
2.366,3.4996,5.1397,0.0915931105263157,5598.13678381523
2.376,3.6,5.298,0.0908690078947368,5553.06069694636
2.386,3.7003,5.458,0.0905932387218045,5535.89729637016
2.396,3.8004,5.6195,0.0900639593984962,5502.96125980468
2.406,3.9003,5.7827,0.0897405063909774,5482.83689534818
2.416,4.0001,5.9417,0.0891426586466165,5445.64741654965
2.426,4.1007,6.1017,0.0885948439849624,5411.57822480555
2.436,4.2011,6.2635,0.0881412736842105,5383.37594352935
2.446,4.3011,6.4265,0.0879824154135338,5373.49961996976
2.456,4.4006,6.5877,0.0876293022556391,5351.54862982203
2.466,4.5006,6.748,0.0875849845864661,5348.79388111469
2.476,4.6011,6.9113,0.0872514165413533,5328.06116937051
2.486,4.7011,7.077,0.0869681590225563,5310.45768707581
2.496,4.8004,7.2449,0.0865294627819549,5283.19822780174
2.506,4.8998,7.4123,0.0864194981203007,5276.36606872977
2.516,5,7.5808,0.0859211552631579,5245.4076121621
2.518,5.0201,7.6143,0.0859103255639098,5244.73491056723
2.52,5.0399,7.6477,0.0856029229323308,5225.64141174823
2.53,5.1112,7.7952,0.0851999218045112,5200.61368411509
2.54,5.1052,7.8135,0.0847652796992481,5173.62554523509
2.55,5.0352,7.7358,0.0844113466165413,5151.65237993053
2.56,4.9194,7.5997,0.0843682530075187,5148.97722306828
2.57,4.7788,7.4144,0.0842450672932331,5141.33038240243
2.58,4.6288,7.1873,0.0844312146616541,5152.8857604528
2.59,4.4813,6.9167,0.0845301729323308,5159.02910034283
2.6,4.3408,6.6046,0.0848725751879699,5180.28737726259
2.61,4.2066,6.2618,0.0852260165413533,5202.23413089961
2.62,4.0791,5.9164,0.0860059766917293,5250.67651387743
2.63,3.9583,5.5929,0.0862496951127819,5265.81672416268
2.64,3.8416,5.2917,0.0867662936090225,5297.91368337474
2.65,3.7278,5.013,0.0872134116541353,5325.69917820306
2.66,3.617,4.7543,0.0878625466165413,5366.0477205919
2.67,3.5092,4.5195,0.088615167293233,5412.84201778149
2.68,3.4033,4.3033,0.0895306966165413,5469.7845206884
2.69,3.2981,4.1007,0.0904112522556391,5524.57182674479
