Prova,CPM,CicliAnalizzati,R0_Riferimento_Ohm,R_base_Locale_Medio_Ohm,DeltaR_Max_Medio_Ohm,Isteresi_R0_Media_Perc,Isteresi_R0_Std_Perc
1,6,14,19072.1180933504,18357.4000648497,1708.45509864852,8.95786765940896,2.6376002886712
2,12,14,19072.1180933504,17392.5994753207,1562.13548360922,8.19067644172078,1.66944306423093
3,24,14,19072.1180933504,16703.9203599322,1625.14688493912,8.5210613576566,2.05328935143933
4,48,14,19072.1180933504,16018.6318412912,993.938663825218,5.21147498647127,0.856000434713761
5,60,14,19072.1180933504,15888.5419460368,1008.41871462942,5.28739760153335,0.941826490331172
