Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
0.62,0.1037,0.3156,0.0943983498464329,0.00279078285649551,0.2074,0.279078285649551
0.63,0.1053,0.3205,0.0944013571727079,0.00282334436157853,0.2106,0.282334436157853
0.64,0.1071,0.3251,0.094404314176001,0.00285536103885757,0.2142,0.285536103885757
0.65,0.1087,0.3297,0.0944072208563121,0.00288683288636287,0.2174,0.288683288636287
0.66,0.1105,0.3358,0.0944100772136412,0.00291775990215673,0.221,0.291775990215673
0.67,0.1122,0.3431,0.0944128832479883,0.00294814208433637,0.2244,0.294814208433637
0.68,0.1139,0.3498,0.0944156389593534,0.00297797943103126,0.2278,0.297797943103126
0.69,0.1157,0.3552,0.0944183443477365,0.0030072719404048,0.2314,0.30072719404048
0.7,0.1173,0.3608,0.0944209994131377,0.00303601961065487,0.2346,0.303601961065487
0.71,0.119,0.3694,0.0944236041555569,0.0030642224400117,0.238,0.30642224400117
0.72,0.1207,0.3785,0.094426158574994,0.0030918804267395,0.2414,0.30918804267395
0.73,0.1222,0.3841,0.0944286626714492,0.00311899356913583,0.2444,0.311899356913583
0.74,0.1238,0.3887,0.0944311164449224,0.00314556186553174,0.2476,0.314556186553174
0.75,0.1256,0.3934,0.0944335198954136,0.00317158531429237,0.2512,0.317158531429237
0.76,0.1273,0.3999,0.0944358730229229,0.00319706391381656,0.2546,0.319706391381656
0.77,0.1289,0.4065,0.0944381758274501,0.00322199766253472,0.2578,0.322199766253472
0.78,0.1306,0.4095,0.0944404283089954,0.00324638655891312,0.2612,0.324638655891312
0.79,0.1323,0.4119,0.0944426304675586,0.00327023060145074,0.2646,0.327023060145074
0.8,0.134,0.4156,0.0944447823031399,0.00329352978867975,0.268,0.329352978867975
0.81,0.1356,0.4218,0.0944468838157392,0.00331628411916578,0.2712,0.331628411916578
0.82,0.1373,0.4292,0.0944489350053565,0.0033384935915091,0.2746,0.33384935915091
0.83,0.139,0.4372,0.0944509358719918,0.00336015820434202,0.278,0.336015820434202
0.84,0.1406,0.4444,0.0944528864156452,0.00338127795633129,0.2812,0.338127795633129
0.85,0.1423,0.4521,0.0944547866363165,0.00340185284617734,0.2846,0.340185284617734
0.86,0.1438,0.4573,0.0944566365340059,0.00342188287261328,0.2876,0.342188287261328
0.87,0.1453,0.461,0.0944584361087133,0.00344136803440665,0.2906,0.344136803440665
0.88,0.1469,0.4653,0.0944601853604386,0.0034603083303582,0.2938,0.34603083303582
0.89,0.1485,0.4722,0.094461884289182,0.003478703759302,0.297,0.3478703759302
0.9,0.1502,0.4773,0.0944635328949435,0.00349655432010559,0.3004,0.349655432010559
0.91,0.1518,0.4797,0.0944651311777229,0.00351386001167067,0.3036,0.351386001167067
0.92,0.1535,0.4816,0.0944666791375203,0.00353062083293179,0.307,0.353062083293179
0.93,0.1552,0.4858,0.0944681767743358,0.0035468367828576,0.3104,0.35468367828576
0.94,0.1569,0.4929,0.0944696240881693,0.00356250786044982,0.3138,0.356250786044982
0.95,0.1587,0.5001,0.0944710210790207,0.00357763406474376,0.3174,0.357763406474376
0.96,0.1603,0.5048,0.0944723677468902,0.00359221539480875,0.3206,0.359221539480875
0.97,0.1621,0.5104,0.0944736640917777,0.00360625184974695,0.3242,0.360625184974695
0.98,0.164,0.5196,0.0944749101136833,0.00361974342869481,0.328,0.361974342869481
0.99,0.1656,0.5299,0.0944761058126068,0.00363269013082149,0.3312,0.363269013082149
1,0.1673,0.5357,0.0944772511885483,0.00364509195533042,0.3346,0.364509195533042
1.01,0.1689,0.5376,0.0944783462415079,0.00365694890145822,0.3378,0.365694890145822
1.02,0.1707,0.5414,0.0944793909714854,0.00366826096847483,0.3414,0.366826096847483
1.03,0.1724,0.5488,0.094480385378481,0.00367902815568466,0.3448,0.367902815568466
1.04,0.174,0.5548,0.0944813294624946,0.00368925046242415,0.348,0.368925046242415
1.05,0.1757,0.5596,0.0944822232235262,0.00369892788806453,0.3514,0.369892788806453
1.06,0.1773,0.5634,0.0944830666615759,0.00370806043201019,0.3546,0.370806043201019
1.07,0.179,0.5677,0.0944838597766435,0.00371664809369901,0.358,0.371664809369901
1.08,0.1806,0.5733,0.0944846025687292,0.00372469087260223,0.3612,0.372469087260223
1.09,0.1823,0.5776,0.0944852950378328,0.00373218876822503,0.3646,0.373218876822503
