Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0
0,0.0001,-0.0008,0.232989019780913,2.30315285193864e-05
0.01,0.0001,-0.0005,0.232987881875819,1.79087646465616e-05
0.02,0.0001,0.0018,0.232986744357219,1.27877431871421e-05
0.03,0.0005,0.0077,0.232985607225114,7.66846413864687e-06
0.04,0.0008,0.015,0.232984470479504,2.55092749847055e-06
0.05,0.0017,0.0187,0.232983334120387,-2.56486673574397e-06
0.06,0.0033,0.0166,0.232982198147765,-7.67891856660194e-06
0.07,0.0054,0.011,0.232981062561638,-1.27912279964605e-05
0.08,0.0081,0.006,0.232979927362005,-1.7901795028173e-05
0.09,0.0112,0.0041,0.232978792548866,-2.30106196638484e-05
0.1,0.0142,0.0021,0.232977658122222,-2.8117701906092e-05
0.11,0.017,-0.0022,0.232976524082072,-3.3223041757261e-05
0.12,0.02,-0.0097,0.232975390428416,-3.83266392200846e-05
0.13,0.0225,-0.014,0.232974257161255,-4.3428494297044e-05
0.14,0.0253,-0.0101,0.232973124280588,-4.85286069902482e-05
0.15,0.0277,-0.0007,0.232971991786416,-5.36269773025506e-05
0.16,0.0302,0.0084,0.232970859678738,-5.87236052363084e-05
0.17,0.0327,0.013,0.232969727957554,-6.38184907938786e-05
0.18,0.0351,0.0136,0.232968596622865,-6.89116339781146e-05
0.19,0.0373,0.0111,0.23296746567467,-7.40030347911254e-05
0.2,0.0395,0.0097,0.23296633511297,-7.90926932356404e-05
0.21,0.0417,0.0078,0.232965204937764,-8.41806093138925e-05
0.22,0.0437,0.0048,0.232964075149052,-8.92667830287353e-05
0.23,0.0457,0.0012,0.232962945746835,-9.43512143820295e-05
0.24,0.0478,-0.0042,0.232961816731112,-9.94339033766285e-05
0.25,0.0498,-0.0074,0.232960688101884,-0.000104514850015138
0.26,0.0518,-0.0043,0.23295955985915,-0.000109594054300038
0.27,0.054,0.0024,0.23295843200291,-0.000114671516233439
0.28,0.056,0.0051,0.232957304533165,-0.000119747235818069
0.29,0.058,0.0045,0.232956177449914,-0.00012482121305641
0.3,0.0601,0.0045,0.232955050753158,-0.000129893447950819
0.31,0.062,0.0074,0.232953924442896,-0.0001349639405039
0.32,0.064,0.0141,0.232952798519128,-0.000140032690717889
0.33,0.066,0.0178,0.232951672981855,-0.000145099698595512
0.34,0.068,0.014,0.232950547831076,-0.000150164964139005
0.35,0.07,0.0065,0.232949423066792,-0.000155228487351095
0.36,0.072,0,0.232948298689002,-0.00016029026823414
0.37,0.074,-0.0036,0.232947174697706,-0.000165350306790373
0.38,0.0761,-0.0044,0.232946051092905,-0.000170408603022648
0.39,0.0782,-0.0045,0.232944927874598,-0.000175465156933321
0.4,0.0802,-0.0044,0.232943805042786,-0.000180519968524378
0.41,0.0822,-0.0024,0.232942682597468,-0.00018557303779892
0.42,0.0842,0.0026,0.232941560538644,-0.000190624364759304
0.43,0.0861,0.0085,0.232940438866315,-0.000195673949407639
0.44,0.0881,0.0131,0.23293931758048,-0.000200721791746779
0.45,0.09,0.0159,0.23293819668114,-0.000205767891778832
0.46,0.0921,0.0154,0.232937076168294,-0.000210812249506528
0.47,0.0941,0.0122,0.232935956041942,-0.0002158548649321
0.48,0.0962,0.0068,0.232934836302085,-0.000220895738058153
0.49,0.0983,0.0022,0.232933716948722,-0.000225934868887168
0.5,0.1005,-0.0008,0.232932597981854,-0.000230972257421379
0.51,0.1025,-0.0019,0.232931479401479,-0.000236007903663266
0.52,0.1045,-0.0038,0.2329303612076,-0.000241041807615808
0.53,0.1064,-0.0066,0.232929243400215,-0.00024607396928074
0.54,0.1084,-0.0063,0.232928125979324,-0.000251104388660792
0.55,0.1104,-0.003,0.232927008944927,-0.000256133065758694
0.56,0.1124,0.003,0.232925892297025,-0.000261160000576431
0.57,0.1144,0.0076,0.232924776035618,-0.000266185193116731
0.58,0.1164,0.01,0.232923660160704,-0.000271208643382075
0.59,0.1184,0.0101,0.232922544672285,-0.000276230351374698
0.6,0.1205,0.0108,0.232921429570361,-0.000281250317097204
0.61,0.1225,0.0109,0.232920314854931,-0.000286268540551827
0.62,0.1245,0.0069,0.232919200525995,-0.000291285021741295
0.63,0.1267,0.0019,0.232918086583554,-0.000296299760667593
0.64,0.1286,-0.0018,0.232916973027607,-0.000301312757333948
0.65,0.1305,-0.003,0.232915859858154,-0.000306324011742344
0.66,0.1325,-0.0023,0.232914747075196,-0.000311333523894765
0.67,0.1343,-0.0003,0.232913634678733,-0.000316341293794439
0.68,0.1364,0.0022,0.232912522668763,-0.000321347321443596
0.69,0.1384,0.0049,0.232911411045289,-0.000326351606844348
0.7,0.1402,0.0081,0.232910299808308,-0.000331354149999298
0.71,0.1424,0.0112,0.232909188957822,-0.000336354950910928
0.72,0.1444,0.0121,0.23290807849383,-0.000341354009581596
0.73,0.1464,0.0105,0.232906968416333,-0.00034635132601403
0.74,0.1484,0.0085,0.23290585872533,-0.000351346900210215
0.75,0.1503,0.0068,0.232904749420821,-0.000356340732172758
0.76,0.1523,0.0064,0.232903640502807,-0.000361332821904262
0.77,0.1543,0.0048,0.232902531971288,-0.000366323169406961
0.78,0.1563,0.0018,0.232901423826262,-0.000371311774683336
0.79,0.1583,-0.0025,0.232900316067731,-0.000376298637735868
0.8,0.1604,-0.0027,0.232899208695695,-0.000381283758566791
0.81,0.1624,0.0018,0.232898101710153,-0.000386267137178834
0.82,0.1645,0.0068,0.232896995111105,-0.00039124877357423
0.83,0.1665,0.0093,0.232895888898552,-0.000396228667755335
0.84,0.1686,0.0079,0.232894783072493,-0.00040120681972488
0.85,0.1706,0.0061,0.232893677632928,-0.000406183229484973
0.86,0.1726,0.005,0.232892572579858,-0.000411157897038344
0.87,0.1745,0.0038,0.232891467913282,-0.000416130822386729
0.88,0.1765,0.0046,0.232890363633201,-0.000421102005533478
0.89,0.1784,0.0035,0.232889259739614,-0.000426071446480576
0.9,0.1803,0.002,0.232888156232522,-0.00043103914523038
0.91,0.1824,0.0014,0.232887053111923,-0.000436005101785247
0.92,0.1844,0.0011,0.23288595037782,-0.000440969316147907
0.93,0.1864,0.0017,0.23288484803021,-0.000445931788320344
0.94,0.1884,0.0023,0.232883746069095,-0.000450892518305288
0.95,0.1904,0.0013,0.232882644494475,-0.000455851506105096
