Tempo,Spostamento,Forza,Voltaggio,R_sensore
2.036,-0.164,-0.3733,0.256583222091933,16227.7468398059
2.046,-0.0942,-0.1817,0.255732882129456,16171.0676765756
2.056,0.0394,-0.0511,0.254709215853659,16102.8624444653
2.066,0.2185,-0.0158,0.25294244380863,15985.2144711451
2.076,0.4248,-0.0661,0.250901589493433,15849.4245310872
2.086,0.6397,-0.1332,0.247667863461539,15634.5046818594
2.096,0.8501,-0.1335,0.244190581894934,15403.7237677344
2.106,1.0522,-0.0159,0.239968906801126,15123.9919720688
2.116,1.2418,0.2123,0.235487280440901,14827.5780316959
2.126,1.4225,0.512,0.230496575609756,14498.1492893607
2.136,1.594,0.841,0.225493482926829,14168.5941020598
2.146,1.7582,1.1764,0.220379304831145,13832.434761229
2.156,1.9182,1.4967,0.215226977251407,13494.4944866645
2.166,2.0729,1.7912,0.209860827814259,13143.3025390679
2.176,2.2243,2.0563,0.20462422434334,12801.3465836461
2.186,2.374,2.2955,0.19962571815197,12475.6345920876
2.196,2.5212,2.514,0.194560061350844,12146.2382529873
2.206,2.6662,2.7177,0.189370175093809,11809.4832892802
2.216,2.811,2.9152,0.184908702251407,11520.5729746723
2.226,2.9549,3.1078,0.180545578705441,11238.5487810223
2.236,3.0971,3.2959,0.176493753283302,10977.1032267309
2.246,3.2397,3.4799,0.17295236880863,10748.9535233327
2.256,3.3822,3.6593,0.169690643105066,10539.116476847
2.266,3.5231,3.8314,0.166949262007505,10362.9738890461
2.276,3.664,4.0031,0.164893654174484,10231.0254861415
2.286,3.8055,4.1765,0.163391784005629,10134.6921256906
2.296,3.9464,4.3505,0.162143099437148,10054.6442011307
2.306,4.0863,4.522,0.160906082645403,9975.38498281718
2.316,4.2275,4.691,0.159580995403377,9890.52777777092
2.326,4.3681,4.8583,0.158620619934334,9829.05536720296
2.336,4.5075,5.0289,0.157610020825516,9764.39453472424
2.346,4.6476,5.2046,0.156989830769231,9724.7264789968
2.356,4.7879,5.3751,0.156109798311445,9668.45604326615
2.366,4.9273,5.5401,0.155510239587242,9630.13117653854
2.376,5.0669,5.7059,0.154781163977486,9583.54013817138
2.386,5.2079,5.8778,0.154238579268293,9548.87576233599
2.396,5.3478,6.0522,0.153840349906191,9523.43882665195
2.406,5.4872,6.2244,0.153489705347092,9501.04483527675
2.416,5.6276,6.394,0.153038581285178,9472.23846434639
2.426,5.768,6.5625,0.152773574155722,9455.3190258146
2.436,5.9074,6.7366,0.152284938602251,9424.12683131233
2.446,6.0475,6.9123,0.152055657129456,9409.4927483896
2.456,6.1884,7.0904,0.151749819183865,9389.97453870996
2.466,6.3282,7.2666,0.151306106613508,9361.66171388257
2.476,6.4678,7.4428,0.150961064821764,9339.6485472568
2.486,6.6084,7.6222,0.150490675,9309.64340397469
2.496,6.7482,7.8029,0.150062255534709,9282.32052293614
2.506,6.8874,7.9881,0.149579310084428,9251.52597972062
2.516,7.0275,8.1727,0.149044170825516,9217.41051088151
2.518,7.0556,8.2097,0.148761130816135,9199.36957306505
2.52,7.0835,8.2467,0.148531706050657,9184.7476094548
2.53,7.1846,8.4046,0.148118793667917,9158.43488550035
2.54,7.1924,8.4044,0.147523758302064,9120.52430268738
2.55,7.1221,8.3141,0.147268610787992,9104.27132534361
2.56,6.9856,8.1688,0.146765089540338,9072.20187656879
2.57,6.8002,7.9709,0.146374923545966,9047.35664005418
2.58,6.5886,7.7333,0.1461673880394,9034.14269041048
2.59,6.373,7.4675,0.146134734990619,9032.06374788012
2.6,6.163,7.1616,0.146029956425891,9025.39293289697
2.61,5.964,6.8215,0.145824576313321,9012.31807167997
2.62,5.7763,6.4701,0.145807120497186,9011.20685456486
2.63,5.5976,6.1219,0.145880986397749,9015.90912721503
2.64,5.4283,5.7938,0.145949096013133,9020.24508395193
2.65,5.2647,5.4816,0.146333106941839,9044.69405293107
2.66,5.1061,5.1923,0.146522672326454,9056.76461025241
2.67,4.9525,4.9261,0.14703241336773,9089.22699830538
2.68,4.8012,4.6794,0.147284962804878,9105.31290273387
2.69,4.6521,4.45,0.148050223311445,9154.06569268872
2.7,4.5057,4.2336,0.148707346669794,9195.9416157493
2.71,4.3601,4.0286,0.149624571294559,9254.41175598816
2.72,4.2152,3.8329,0.150464496529081,9307.97370725856
2.73,4.0723,3.6463,0.151602247185741,9380.55755209502
2.74,3.9302,3.4623,0.152673561116323,9448.93415213127
2.75,3.7873,3.2811,0.154378646529081,9557.82356488704
2.76,3.6459,3.1081,0.155975299812383,9659.85783307473
2.77,3.5052,2.9379,0.158359074765478,9812.31841916123
2.78,3.3635,2.769,0.160519485553471,9950.6229072086
2.79,3.2226,2.6017,0.163449213555347,10138.374687191
2.8,3.0827,2.4341,0.166341301876173,10323.9375552563
2.81,2.9423,2.2686,0.169456697842401,10524.0769356138
2.82,2.8013,2.1064,0.173200127110694,10764.9041811433
2.83,2.6613,1.948,0.177082916228893,11015.0918927117
2.84,2.5214,1.7848,0.181166526078799,11278.654495486
2.85,2.3806,1.6194,0.185580620825516,11564.0499638403
2.86,2.2406,1.459,0.190028492542214,11852.1591394613
2.87,2.101,1.3016,0.194786265712946,12160.9324673575
2.88,1.9608,1.1435,0.199463275844278,12465.0609279127
2.89,1.8204,0.9807,0.204644785741088,12802.6878050189
2.9,1.6808,0.8196,0.209996588320826,13152.177792325
2.91,1.5405,0.6589,0.215274697232645,13497.6210927806
2.92,1.3995,0.5014,0.220715551547842,13854.5144526389
2.93,1.2598,0.3457,0.225917087101313,14196.4702680966
2.94,1.1203,0.1846,0.231098262898687,14537.8291882664
2.95,0.9797,0.0208,0.235948345309569,14858.0470413623
2.96,0.8397,-0.1286,0.240569892354597,15163.7834938359
2.97,0.7005,-0.2559,0.24457816435272,15429.4302044456
2.98,0.5603,-0.3644,0.248065348170732,15660.9065367874
2.99,0.4198,-0.4537,0.250751974108818,15839.4743383674
3,0.2801,-0.5151,0.252847061350844,15978.8655190954
3.01,0.1404,-0.5509,0.254198491651032,16068.8447169885
3.02,-0.0004,-0.5674,0.255001922983114,16122.3620438281
3.022,-0.0283,-0.5691,0.255176704221388,16134.0067889408
3.024,-0.0561,-0.5702,0.25483214521576,16111.0514747437
3.034,-0.1563,-0.5426,0.253505244793621,16022.6814439574
3.044,-0.1639,-0.3716,0.251837242401501,15911.6644852887
3.054,-0.094,-0.1802,0.249146495121951,15732.7411716316
3.064,0.0399,-0.0497,0.246036071810507,15526.1635675183
3.074,0.219,-0.0157,0.242250315196998,15275.0983918374
3.084,0.4252,-0.0715,0.238301909052533,15013.6718771968
3.094,0.6401,-0.1555,0.233477072420263,14694.8043238815
3.104,0.8504,-0.1818,0.228825816463415,14388.0190280833
3.114,1.0525,-0.0949,0.224012756613508,14071.1906375195
3.124,1.2419,0.1085,0.219332727908068,13763.731008125
3.134,1.4226,0.3942,0.214215229924953,13428.2196264497
3.144,1.5941,0.7194,0.209463418855535,13117.3250829551
3.154,1.7582,1.0551,0.204299987711069,12780.1981267106
3.164,1.9183,1.3777,0.199450064399625,12464.2010025054
3.174,2.0729,1.6743,0.19442489727955,12137.458667714
3.184,2.2243,1.9428,0.189859672654784,11841.2141684588
3.194,2.3741,2.1859,0.185547229643527,11561.8890761154
3.204,2.521,2.4092,0.181178309662289,11279.4156728546
3.214,2.666,2.6174,0.177354282317073,11032.5924419522
3.224,2.8113,2.8133,0.173963787992495,10814.078905562
3.234,2.9549,3.0025,0.170808071341463,10610.972220496
3.244,3.0971,3.1877,0.168182789071295,10442.2072522256
3.254,3.2397,3.3731,0.165871972983114,10293.8092695989
