Prova,CPM,CicliAnalizzati,R0_Riferimento_Ohm,R_base_Locale_Medio_Ohm,DeltaR_Max_Medio_Ohm,Isteresi_R0_Media_Perc,Isteresi_R0_Std_Perc
1,6,14,13240.6425494842,12671.569472811,1514.75454276474,11.4401890777103,1.49453822465831
2,12,14,13240.6425494842,11721.0663958125,1339.21307739957,10.1144115355017,1.89839299337694
3,24,14,13240.6425494842,11049.0868088327,1337.67923211396,10.1028271635206,2.99082449696857
4,48,14,13240.6425494842,10608.4662850172,860.244845982514,6.49700226229601,2.90880482895888
5,60,14,13240.6425494842,10614.1257205546,711.307923685305,5.37215562633716,2.32086660744729
